term	n	Group	Umbrella
"""jacksonian, focal or motor epilepsy"""	8	Epilepsy	Epilepsy or seizures
"""mitochond encephalopathy, lact acidosis & strokelike episode"""	2	Exclude	Exclude
"""post-traumatic hydrocephalus, unspecified"""	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
"""secondary parkinsonism, unspecified"""	7	Parkinson's Disease	Parkinsonism other
"""status epilepticus, unspecified"""	58	Epilepsy	Epilepsy or seizures
[d]ataxia nos	363	Ataxic disorders	Ataxic disorders
[d]nocturnal seizure	44	Epilepsy	Epilepsy or seizures
[d]reflex anoxic seizure	40	Reflex syncope	Disorders of autonomic nervous system
[d]seizure nos	5279	Epilepsy	Epilepsy or seizures
[rfc] multiple sclerosis	68	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
[rfc] parkinson's disease	84	Parkinson's Disease	Parkinson's Disease
[x]acquired aphasia with epilepsy [landau - kleffner]	5	Epilepsy	Epilepsy or seizures
"[x]acute disseminated demyelination, unspecified"	5	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
[x]dementia in human immunodef virus [hiv] disease	7	Dementia unknown/unspecified/other	Dementia
[x]demyelinating diseases of the central nervous system	28	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
[x]epileptic psychosis nos	34	Epilepsy	Epilepsy or seizures
[x]oth unspec antiepileptics caus adverse eff in therap use	3	Epilepsy	Epilepsy or seizures
[x]other chorea	6	Huntington/Chorea	Movement disorders other
[x]other congenital hydrocephalus	2	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
[x]other drug-induced secondary parkinsonism	12	Parkinson's Disease	Parkinsonism other
[x]other epilepsy	9	Epilepsy	Epilepsy or seizures
[x]other generalized epilepsy and epileptic syndromes	18	Epilepsy	Epilepsy or seizures
[x]other hereditary ataxias	3	Ataxic disorders	Ataxic disorders
[x]other hydrocephalus	6	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
[x]other secondary parkinsonism	30	Parkinson's Disease	Parkinsonism other
[x]other specified acute disseminated demyelination	2	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
[x]other specified demyelinating diseases/the cns	41	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
[x]other status epilepticus	5	Epilepsy	Epilepsy or seizures
[x]parkinsonism in diseases classified elsewhere	29	Parkinson's Disease	Parkinsonism other
"[x]secondary parkinsonism, unspecified"	7	Parkinson's Disease	Parkinsonism other
"[x]status epilepticus, unspecified"	7	Epilepsy	Epilepsy or seizures
1 to 12 seizures a year	3194	Epilepsy	Epilepsy or seizures
1 to 7 seizures a week	821	Epilepsy	Epilepsy or seizures
2 to 4 seizures a month	1207	Epilepsy	Epilepsy or seizures
absence seizure	365	Epilepsy	Epilepsy or seizures
acquired communicating hydrocephalus	20	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
acquired obstructive hydrocephalus	78	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
adverse reaction to antiepileptics	1	Epilepsy	Epilepsy or seizures
adverse reaction to drugs used in control of epilepsy	1	Epilepsy	Epilepsy or seizures
amyotrophic lateral sclerosis	10	MND	Motor neuron diseases or related disorders
annual stroke/cva blood test	14	Exclude	Exclude
anoxic - ischaemic encephalopathy	5	Cerebrovascular disease	Cerebrovascular disease
anterior horn cell disease	20	MND	Motor neuron diseases or related disorders
anterior horn cell disease nos	4	MND	Motor neuron diseases or related disorders
antiparkinsonian drug poisoning nos	2	Exclude	Exclude
antiparkinsonism drug poisoning	2	Exclude	Exclude
ataxia	83	Ataxic disorders	Ataxic disorders
benign multiple sclerosis	10	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
benign rolandic epilepsy	97	Epilepsy	Epilepsy or seizures
bilirubin encephalopathy	1	Exclude	Exclude
cause of learning disabilities: congenital hydrocephalus	1	Hydrocephalus	Structural developmental anomalies or disorders of CSF fluid pressure
central demyelination of corpus callosum	1	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
central nervous system demyelination nos	96	Multiple sclerosis or other white matter disorders	Multiple sclerosis or other white matter disorders
cerebellar (nontraum) and post fossa haemorhage fet newborn	2	Ataxic disorders	Ataxic disorders
cerebellar abscess	1	Ataxic disorders	Ataxic disorders
cerebellar ataxia	31	Ataxic disorders	Ataxic disorders
cerebellar ataxia due to alcoholism	11	Ataxic disorders	Ataxic disorders
cerebellar ataxia in disease nos	1	Ataxic disorders	Ataxic disorders
cerebellar ataxia nos	343	Ataxic disorders	Ataxic disorders
cerebellar disease	97	Ataxic disorders	Ataxic disorders
cerebellar hypoplasia	4	Ataxic disorders	Ataxic disorders
cerebral ataxia	125	Ataxic disorders	Ataxic disorders
