"","term","Group","Umbrella","OriginalReadCode","CleansedReadCode"
"1","[d] dementia","Dementia unknown/unspecified/other","Dementia","EMISNQDD2",""
"2","[d] dementia in alzheimers disease","Alzheimer's disease","Dementia","EMISNQDD3",""
"3","[d] dementia with lewy bodies","Lewy body dementia","Dementia","EMISNQDD1",""
"4","[d] vascular dementia","Vascular dementia","Dementia","EMISNQDV1",""
"5","[d]ataxia nos","Ataxic disorders","Ataxic disorders","R0130","R013000"
"6","[d]nocturnal seizure","Epilepsy","Epilepsy or seizures","R0034","R003400"
"7","[d]reflex anoxic seizure","Reflex syncope","Disorders of autonomic nervous system","R0033","R003300"
"8","[d]seizure nos","Epilepsy","Epilepsy or seizures","R003z-1","R003z11"
"9","[d]spastic gait","Spasticity","Spinal cord disorders","R0122","R012200"
"10","[d]transient monoplegia nos","Paralytic symptoms","Paralysis","R0140","R014000"
"11","[d]transient paralysis of a limb","Paralytic symptoms","Paralysis","R014","R014.00"
"12","[rfc] alzheimers disease","Alzheimer's disease","Dementia","HNG0062",""
"13","[rfc] cerebral palsy","Cerebral palsy","Cerebral palsy","HNG0180",""
"14","[rfc] cerebral palsy","Cerebral palsy","Cerebral palsy","HNG0197",""
"15","[rfc] cva","Cerebral ischaemia","Cerebrovascular disease","HNGP003",""
"16","[rfc] dementia","Dementia unknown/unspecified/other","Dementia","HNGNQRF130",""
"17","[rfc] epilepsy/convulsion","Epilepsy","Epilepsy or seizures","HNG0067",""
"18","[rfc] ischaemic attack","Cerebral ischaemia","Cerebrovascular disease","HNG0237",""
"19","[rfc] multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","HNG0052",""
"20","[rfc] multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","HNG0603",""
"21","[rfc] parkinsons disease","Parkinson's Disease","Parkinson's Disease","HNG0633",""
"22","[rfc] parkinsons disease","Parkinson's Disease","Parkinson's Disease","HNG0054",""
"23","[rfc] stroke","Cerebral ischaemia","Cerebrovascular disease","HNG0235",""
"24","[rfc] stroke","Cerebral ischaemia","Cerebrovascular disease","HNG0602",""
"25","[rfc] stroke/cva","Cerebral ischaemia","Cerebrovascular disease","HNG0234",""
"26","[v]personal history of cerebrovascular accident (cva)","Cerebral ischaemia","Cerebrovascular disease","ZV125-2","ZV12512"
"27","[v]personal history of stroke","Cerebral ischaemia","Cerebrovascular disease","ZV125-1","ZV12511"
"28","[x] adverse react to anticonvulsants & anti-parkinsons drugs","Exclude","Exclude","U606-1","U606.11"
